eurostat_country_code,fao_area_code,Country_name,Climatic_zone1,Climatic_zone1_pct,Agreena_crop_english_name,Agreena_crop_ID,Agreena_crop_IDENTIFIER,Agreena_crop_year,Agreena_crop_methodology,coolfarm_id,coolfarm_name,es_crop_name,fao_crop_name,yield_avg,yield_min,yield_max,yield_sd,source,Agreena_crop_name
AL,3,Albania,Warm temperate moist,0.52,Other root crops (only 2021),18,OTHER-ROOT-CROPS,NA,NA,29,Other root crops,use FAO,"Roots and Tubers, Total",25.249025,24.2574,26.2742,0.7222889464354665,fao (imputed),OTHER-ROOT-CROPS
AL,3,Albania,Warm temperate moist,0.52,Other tuber crop (only 2021),19,OTHER-TUBER-CROP,NA,NA,30,Other tuber crop,use FAO,"Roots and Tubers, Total",25.249025,24.2574,26.2742,0.7222889464354665,fao (imputed),OTHER-TUBER-CROP
AL,3,Albania,Warm temperate moist,0.52,"Pea, Spring (seed harvest)",212,PEA-SPRING-SEED-HARVEST,2023,2,7,Dry bean,Field peas,"Peas, dry",2.20125,1.61,3.21,0.5855019214315184,eurostat (imputed),PEA-SPRING-SEED-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Pea, Winter (seed harvest)",214,PEA-WINTER-SEED-HARVEST,2023,2,7,Dry bean,Field peas,"Peas, dry",2.20125,1.61,3.21,0.5855019214315184,eurostat (imputed),PEA-WINTER-SEED-HARVEST
AL,3,Albania,Warm temperate moist,0.52,Peas,134,PEAS,2022,2,7,Dry bean,Field peas,"Peas, dry",2.20125,1.61,3.21,0.5855019214315184,eurostat (imputed),PEAS
AL,3,Albania,Warm temperate moist,0.52,Perennial seed grass,117,PERENNIAL-GRASS,2023,2,13,Perennial grass,Temporary grasses and grazings,use eurostat,6.7825,5.16,10.2,1.872116830908645,eurostat (imputed),PERENNIAL-GRASS
AL,3,Albania,Warm temperate moist,0.52,Plain grass,129,PLAIN-GRASS,2023,2,13,Perennial grass,Temporary grasses and grazings,use eurostat,6.7825,5.16,10.2,1.872116830908645,eurostat (imputed),PLAIN-GRASS
AL,3,Albania,Warm temperate moist,0.52,Potato,279,POTATO,2023,2,30,Other tuber crop,Potatoes (including seed potatoes),Potatoes,23.2625,19.1,24.8,1.838429065417382,eurostat (imputed),POTATO
AL,3,Albania,Warm temperate moist,0.52,Rapeseed,141,RAPE,2022,2,35,Rapeseed,Winter rape and turnip rape seeds,use eurostat,3.79125,3.43,4.31,0.3422796475732338,CZ estimate Eurostat,RAPE
AL,3,Albania,Warm temperate moist,0.52,"Rapeseed, Winter (seed harvest)",179,RAPESEED,2023,2,35,Rapeseed,Winter rape and turnip rape seeds,use eurostat,3.79125,3.43,4.31,0.3422796475732338,CZ estimate Eurostat,RAPESEED
