"eurostat_country_code","fao_area_code","Country_name","Climatic_zone1","Climatic_zone1_pct","Agreena_crop_english_name","Agreena_crop_ID","Agreena_crop_IDENTIFIER","Agreena_crop_year","Agreena_crop_methodology","coolfarm_id","coolfarm_name","es_crop_name","fao_crop_name","yield_avg","yield_min","yield_max","yield_sd","source","Agreena_crop_name"
"MA",203,"Morocco","Warm temperate dry",0.83,"Bean, Black (seed harvest)",147,"DRY-BEAN",2023,2,7,"Dry bean","Broad and field beans","Beans, dry",1.28,1.09,1.53,0.154919333848297,"eurostat (imputed)","DRY-BEAN"
"MA",203,"Morocco","Warm temperate dry",0.83,"Flax / Linseed",96,"FLAX",2022,2,19,"Spring wheat","Linseed (oilflax)","use eurostat",0.90125,0.3,1.25,0.301919454727345,"eurostat (imputed)","FLAX"
"MA",203,"Morocco","Warm temperate dry",0.83,"Flax / Linseed (seed harvest)",193,"FLAX-LINSEED-SEED-HARVEST",2023,2,11,"Oats","Linseed (oilflax)","use eurostat",0.90125,0.3,1.25,0.301919454727345,"eurostat (imputed)","FLAX-LINSEED-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Grass-clover mix",133,"GRASS-CLOVER-MIX",2022,2,13,"Grass-clover mix","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","GRASS-CLOVER-MIX"
"MA",203,"Morocco","Warm temperate dry",0.83,"Grass-clover mix (forage harvest)",265,"GRASS-CLOVER-MIX-FORAGE-HARVEST",2023,2,13,"Grass-clover mix","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","GRASS-CLOVER-MIX-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Grazing field (non-permanent)",132,"GRAZING-FIELD",2022,2,13,"Perennial grass","Temporary grasses and grazings","use eurostat",11.7,10.1,14.1,1.49284005458436,"eurostat (imputed)","GRAZING-FIELD"
"MA",203,"Morocco","Warm temperate dry",0.83,"Hemp",136,"HEMP",2022,2,35,"Rapeseed","Hemp","use eurostat",3.39375,1.72,5.89,1.58468507461713,"eurostat (imputed)","HEMP"
"MA",203,"Morocco","Warm temperate dry",0.83,"Hemp (biomass harvest)",232,"HEMP-BIOMASS-HARVEST",2023,2,35,"Rapeseed","use FAO","Fibre Crops, Fibre Equivalent",2.0673125,1.8639,2.2218,0.109417097612759,"fao (imputed)","HEMP-BIOMASS-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Hemp (fiber harvest)",233,"HEMP-FIBER-HARVEST",2023,2,35,"Rapeseed","use FAO","Fibre Crops, Fibre Equivalent",2.0673125,1.8639,2.2218,0.109417097612759,"fao (imputed)","HEMP-FIBER-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Hemp (seed harvest)",275,"HEMP-SEED-HARVEST",2023,2,35,"Rapeseed","Hemp","use eurostat",3.39375,1.72,5.89,1.58468507461713,"eurostat (imputed)","HEMP-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Bean, Dry (seed harvest)",143,"HORSEBEANS",2023,2,7,"Dry bean","Broad and field beans","Beans, dry",1.28,1.09,1.53,0.154919333848297,"eurostat (imputed)","HORSEBEANS"
"MA",203,"Morocco","Warm temperate dry",0.83,"Lentil (forage harvest)",248,"LENTIL-FORAGE-HARVEST",NA,NA,7,"Dry bean","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","LENTIL-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Lentil (seed harvest)",231,"LENTIL-SEED-HARVEST",2023,2,7,"Dry bean","use FAO","Lentils, dry",0.970075,0.6672,1.161,0.205561535798894,"fao (imputed)","LENTIL-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Lupine (forage harvest)",268,"LUPINE-FORAGE-HARVEST",NA,NA,7,"Dry bean","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","LUPINE-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Lupine (seed harvest)",269,"LUPINE-SEED-HARVEST",2023,2,7,"Dry bean","Sweet lupins","Lupins",0.89125,0.7,1.03,0.130102981189079,"eurostat (imputed)","LUPINE-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Maize (forage harvest)",149,"MAIZE",2023,2,9,"Maize","Green maize","Green corn (maize)",37.3,35.3,41.4,2.0660521359761,"eurostat (imputed)","MAIZE"
"MA",203,"Morocco","Warm temperate dry",0.83,"Maize (grain harvest)",170,"MAIZE-CORN",2023,2,9,"Maize","Grain maize and corn-cob-mix","Maize (corn)",11.775,11.3,12.8,0.517549169506766,"eurostat (imputed)","MAIZE-CORN"
"MA",203,"Morocco","Warm temperate dry",0.83,"Millet (seed harvest)",150,"MILLET",2023,2,10,"Millet","use FAO","Millet",2.995725,1.7143,4.4048,1.01691674297499,"fao (imputed)","MILLET"
"MA",203,"Morocco","Warm temperate dry",0.83,"Millet (forage harvest)",249,"MILLET-FORAGE-HARVEST",2023,2,10,"Millet","Other cereals harvested green (excluding green maize)","use eurostat",5.88125,4.75,6.54,0.699723159542401,"eurostat (imputed)","MILLET-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Oat, Black (forage harvest)",251,"OAT-BLACK-FORAGE-HARVEST",2023,2,11,"Oats","Other cereals harvested green (excluding green maize)","use eurostat",5.88125,4.75,6.54,0.699723159542401,"eurostat (imputed)","OAT-BLACK-FORAGE-HARVEST"
